The IOP Mass Simulation Data Of C60H60
The abundance value of all kinds of IOP elements in the different atom is as follow
C
12.000000     0.989000
13.003350     0.011000
H
1.007825      0.999850
2.014000      0.000150
The distribution of abundance in C60H60 is as follow
  M / Z        Abundance       Spread        Multiplicity
780.469500    0.51035051    1.00000000           1
781.472850    0.34057769    0.66734075           1
781.475675    0.00459384    0.00900135           1
782.476200    0.11174667    0.21896064           1
782.479025    0.00306566    0.00600697           1
782.481850    0.00002033    0.00003984           1
783.479550    0.02402911    0.04708355           1
783.482375    0.00100587    0.00197094           1
783.485200    0.00001357    0.00002658           1
784.482900    0.00380846    0.00746243           1
784.485725    0.00021629    0.00042382           1
785.486250    0.00047442    0.00092960           1
785.489075    0.00003428    0.00006717           1
786.489600    0.00004837    0.00009478           1
